pkg_name	is_cran	is_bioc	is_github
rprojroot	TRUE	TRUE	FALSE
tidyverse	TRUE	TRUE	FALSE
here	TRUE	TRUE	FALSE
odbc	TRUE	TRUE	FALSE
DBI	TRUE	TRUE	FALSE
TxDb.Btaurus.UCSC.bosTau8.refGene	FALSE	TRUE	FALSE
Organism.dplyr	FALSE	TRUE	FALSE
IRanges	FALSE	TRUE	FALSE
Biostrings	FALSE	TRUE	FALSE
GenomicRanges	FALSE	TRUE	FALSE
BSgenome	FALSE	TRUE	FALSE
rtracklayer	FALSE	TRUE	FALSE
motifRG	FALSE	TRUE	FALSE
AnnotationHub	FALSE	TRUE	FALSE
ensembldb	FALSE	TRUE	FALSE
BSgenomeProvidesgetSeq(	FALSE	FALSE	FALSE
GenomicRangesProvidesGRanges,etc	FALSE	FALSE	FALSE
rtracklayerProvidesimport(andexport(	FALSE	FALSE	FALSE
seqinr	TRUE	TRUE	FALSE
biomaRt	FALSE	TRUE	FALSE
RNAseq123	FALSE	TRUE	FALSE
lattice	TRUE	TRUE	FALSE
Biobase	FALSE	TRUE	FALSE
pheatmap	TRUE	TRUE	FALSE
gdata	TRUE	TRUE	FALSE
SummarizedExperiment	FALSE	TRUE	FALSE
DESeq2	FALSE	TRUE	FALSE
genefilter	FALSE	TRUE	FALSE
GEOquery	FALSE	TRUE	FALSE
knitr	TRUE	TRUE	FALSE
RforProteomics	FALSE	TRUE	FALSE
readMzXmlData	TRUE	TRUE	FALSE
drc	TRUE	TRUE	FALSE
pacman	TRUE	TRUE	FALSE
png	TRUE	TRUE	FALSE
grid	FALSE	FALSE	FALSE
stats	FALSE	FALSE	FALSE
circlize	TRUE	TRUE	FALSE
tximport	FALSE	TRUE	FALSE
tximportData	FALSE	TRUE	FALSE
pasilla	FALSE	TRUE	FALSE
ReactomePA	FALSE	TRUE	FALSE
gplots	TRUE	TRUE	FALSE
geneplotter	FALSE	TRUE	FALSE
org.Hs.eg.db	FALSE	TRUE	FALSE
DOSE	FALSE	TRUE	FALSE
gapminder	TRUE	TRUE	FALSE
wesanderson	TRUE	TRUE	FALSE
platetools	TRUE	TRUE	FALSE
viridis	TRUE	TRUE	FALSE
seqLogo	FALSE	TRUE	FALSE
AneuFinder	FALSE	TRUE	FALSE
humarray	FALSE	FALSE	FALSE
car	TRUE	TRUE	FALSE
pastecs	TRUE	TRUE	FALSE
psych	TRUE	TRUE	FALSE
psych	TRUE	TRUE	FALSE
compute.es	TRUE	TRUE	FALSE
ez	TRUE	TRUE	FALSE
multcomp	TRUE	TRUE	FALSE
nlme	TRUE	TRUE	FALSE
reshape	TRUE	TRUE	FALSE
WRS	FALSE	FALSE	FALSE
Amelia	TRUE	TRUE	FALSE
devtools	TRUE	TRUE	FALSE
adventr	FALSE	FALSE	FALSE
dslabs	TRUE	TRUE	FALSE
annotate	FALSE	TRUE	FALSE
msa	FALSE	TRUE	FALSE
DECIPHER	FALSE	TRUE	FALSE
rentrez	TRUE	TRUE	FALSE
XVector	FALSE	TRUE	FALSE
BiocGenerics	FALSE	TRUE	FALSE
S4Vectors	FALSE	TRUE	FALSE
swirl	TRUE	TRUE	FALSE
BSgenome.Hsapiens.UCSC.hg38	FALSE	TRUE	FALSE
GenomicAlignments	FALSE	TRUE	FALSE
Rsamtools	FALSE	TRUE	FALSE
RNAseqData.HNRNPC.bam.chr14	FALSE	FALSE	FALSE
airway	FALSE	TRUE	FALSE
VariantAnnotation	FALSE	TRUE	FALSE
TxDb.Hsapiens.UCSC.hg19.knownGene	FALSE	TRUE	FALSE
RNAseqData.HNRNPC.bam.chr14	FALSE	TRUE	FALSE
BiocParallel	FALSE	TRUE	FALSE
BSgenome.Hsapiens.UCSC.hg19	FALSE	TRUE	FALSE
suppressPackageStartupMessages(SummarizedExperiment	FALSE	FALSE	FALSE
BiocStyle	FALSE	TRUE	FALSE
rmarkdown	TRUE	TRUE	FALSE
airway2	FALSE	FALSE	FALSE
vsn	FALSE	TRUE	FALSE
hexbin	TRUE	TRUE	FALSE
RColorBrewer	TRUE	TRUE	FALSE
PoiClaClu	TRUE	TRUE	FALSE
IHW	FALSE	TRUE	FALSE
ggbeeswarm	TRUE	TRUE	FALSE
apeglm	FALSE	TRUE	FALSE
ReportingTools	FALSE	TRUE	FALSE
sva	FALSE	TRUE	FALSE
RUVSeq	FALSE	TRUE	FALSE
TxDb.Hsapiens.UCSC.hg38.knownGene	FALSE	TRUE	FALSE
EnsDb.Hsapiens.v75	FALSE	TRUE	FALSE
Gviz	FALSE	TRUE	FALSE
KEGGREST	FALSE	TRUE	FALSE
karyoploteR	FALSE	TRUE	FALSE
ExperimentHub	FALSE	TRUE	FALSE
GO.db	FALSE	TRUE	FALSE
GenomicFeatures	FALSE	TRUE	FALSE
seegrasp2db	FALSE	FALSE	FALSE
curatedTCGAData	FALSE	TRUE	FALSE
repurrrsive	TRUE	TRUE	FALSE
